iter	RMSE
0	13.12418108
1	12.0437352
2	11.06515674
3	10.18278726
4	9.397587162
5	8.672594982
6	8.002721583
7	7.394513913
8	6.836347456
9	6.348208244
10	5.905817473
11	5.500226272
12	5.12066337
13	4.782863906
14	4.494524031
15	4.22267283
16	3.967381092
17	3.736073293
18	3.540796759
19	3.354041319
20	3.183539638
21	3.023816486
22	2.874268775
23	2.74037696
24	2.619334385
25	2.502308896
26	2.401549627
27	2.303089971
28	2.213437842
29	2.1322683
30	2.05296263
31	1.983038207
32	1.919445075
33	1.857286018
34	1.794414287
35	1.741173156
36	1.691973703
37	1.644591357
38	1.599988118
39	1.560005696
40	1.521468153
41	1.485148415
42	1.453306588
43	1.419187413
44	1.387197576
45	1.358314421
46	1.329919209
47	1.303299499
48	1.279067416
49	1.253759435
50	1.231304015
51	1.210062299
52	1.184974949
53	1.164051587
54	1.143552789
55	1.12630985
56	1.109840856
57	1.089472798
58	1.073579632
59	1.058878756
60	1.043564684
61	1.026008543
62	1.013089636
63	0.9988999571
64	0.9827711154
65	0.9683218705
66	0.9543869256
67	0.9418412971
68	0.9282802997
69	0.918039047
70	0.9071252756
71	0.8935385541
72	0.8842430831
73	0.8724230036
74	0.8589123083
75	0.8492698762
76	0.8395344705
77	0.8257063559
78	0.8169324602
79	0.8053102248
80	0.797898382
81	0.7876180122
82	0.7764852259
83	0.7668065321
84	0.7591120806
85	0.749663883
86	0.7405574646
87	0.7339001722
88	0.7234953176
89	0.7169114365
90	0.7087773964
91	0.699774251
92	0.692756379
93	0.6859115136
94	0.6768562012
95	0.6710020943
96	0.6651942974
97	0.6558207227
98	0.6492905391
99	0.6417819953
