iter	Passed	Remaining
0	279	27719
1	470	23051
2	683	22096
3	847	20334
4	1017	19334
5	1157	18133
6	1271	16899
7	1394	16035
8	1530	15475
9	1666	15002
10	1785	14442
11	1939	14221
12	2040	13657
13	2170	13332
14	2289	12972
15	2411	12658
16	2519	12299
17	2625	11960
18	2735	11660
19	2831	11326
20	2934	11038
21	3033	10754
22	3140	10514
23	3237	10250
24	3338	10014
25	3459	9845
26	3554	9611
27	3646	9376
28	3737	9150
29	3828	8933
30	3935	8759
31	4025	8555
32	4128	8382
33	4218	8188
34	4340	8060
35	4432	7879
36	4534	7720
37	4636	7564
38	4766	7455
39	4860	7291
40	4947	7119
41	5035	6953
42	5232	6935
43	5341	6798
44	5468	6684
45	5570	6539
46	5658	6380
47	5751	6230
48	5938	6180
49	6041	6041
50	6137	5896
51	6245	5765
52	6430	5702
53	6665	5677
54	6783	5550
55	6874	5401
56	6982	5267
57	7078	5125
58	7170	4982
59	7257	4838
60	7362	4707
61	7500	4597
62	7580	4451
63	7680	4320
64	7828	4215
65	7917	4078
66	8028	3954
67	8113	3818
68	8226	3696
69	8297	3555
70	8391	3427
71	8519	3313
72	8591	3177
73	8692	3053
74	8804	2934
75	8889	2807
76	8999	2688
77	9127	2574
78	9211	2448
79	9361	2340
80	9446	2215
81	9559	2098
82	9708	1988
83	9838	1873
84	9926	1751
85	10037	1633
86	10134	1514
87	10208	1392
88	10334	1277
89	10415	1157
90	10496	1038
91	10605	922
92	10716	806
93	10794	689
94	10915	574
95	10992	458
96	11069	342
97	11205	228
98	11301	114
99	11406	0
