firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,gameDate,fantasyScore,points_MA3,reboundsTotal_MA3,assists_MA3,steals_MA3,blocks_MA3,turnovers_MA3,fantasyScore_MA3,numMinutes_MA3,points_MA5,reboundsTotal_MA5,assists_MA5,steals_MA5,blocks_MA5,turnovers_MA5,fantasyScore_MA5,numMinutes_MA5,points_MA10,reboundsTotal_MA10,assists_MA10,steals_MA10,blocks_MA10,turnovers_MA10,fantasyScore_MA10,numMinutes_MA10,fantasyScore_last1games,points_last1games,fantasyScore_last3games,points_last3games,fantasyScore_last5games,points_last5games,fantasyScore_momentum,year,points_season_avg,reboundsTotal_season_avg,assists_season_avg,steals_season_avg,blocks_season_avg,turnovers_season_avg,fantasyScore_season_avg,numMinutes_season_avg,points_career_avg,reboundsTotal_career_avg,assists_career_avg,steals_career_avg,blocks_career_avg,turnovers_career_avg,fantasyScore_career_avg,numMinutes_career_avg,minutes_MA5,minutes_trend,usage_rate_approx,usage_rate_MA5,fg_efficiency,fg_efficiency_MA5,games_played,is_home,days_rest,is_back_to_back,day_of_week,is_weekend,month,is_playoff_season,is_win,opponent_encoded,team_encoded,vs_opponent_avg,team_avg_fantasy,team_avg_fantasy_MA5,predicted_fantasy_score,Player,Game,Game_Date
Giannis,Antetokounmpo,203507,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,24.42,29.0,1.0,1.0,1.0,15.0,10.0,0.667,3.0,1.0,0.333,10.0,8.0,0.8,7.0,1.0,8.0,2.0,2.0,13.0,2025-12-27 15:00:00,42.1,29.0,8.0,1.0,1.0,1.0,2.0,42.1,24.42,29.0,8.0,1.0,1.0,1.0,2.0,42.1,24.42,29.0,8.0,1.0,1.0,1.0,2.0,42.1,24.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.42,0.0,0.6117455138662315,0.6117455138662315,0.6622516556291391,0.6622516556291391,1,0,0.0,0,5,1,12,0,1,4,19,0.0,15.814285714285715,15.015164835164835,41.70991428316032,Giannis Antetokounmpo,Bucks vs Bulls,2025-12-27 15:00:00
Thanasis,Antetokounmpo,203648,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-27 15:00:00,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.39999999999999997,3.26,0.0,0.25,0.0,0.0,0.0,0.0,0.3,3.26,0.0,0.25,0.0,0.0,0.0,0.0,0.3,3.26,1.2,0.0,0.39999999999999997,0.0,0.39999999999999997,0.0,0.0,2025,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.39999999999999997,3.26,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.39999999999999997,3.26,3.26,0.0,0.0,0.0,0.0,0.0,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.214945054945053,0.12047027624958612,Thanasis Antetokounmpo,Bucks vs Bulls,2025-12-27 15:00:00
Gary,Harris,203914,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,21.58,3.0,0.0,0.0,1.0,3.0,1.0,0.333,3.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,2025-12-27 15:00:00,4.0,5.333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,9.666666666666666,18.003333333333334,4.0,1.25,0.5,0.5,0.25,0.5,7.25,16.1075,4.0,1.25,0.5,0.5,0.25,0.5,7.25,16.1075,15.1,8.0,8.333333333333334,4.333333333333333,8.333333333333334,4.333333333333333,1.0,2025,4.333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.333333333333334,14.283333333333333,4.333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.333333333333334,14.283333333333333,16.1075,2.7899999999999996,0.13837638376383765,0.14194009777436037,0.3225806451612903,0.44453186467348543,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.414725274725274,4.43223467316888,Gary Harris,Bucks vs Bulls,2025-12-27 15:00:00
Myles,Turner,1626167,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,27.21,13.0,1.0,0.0,0.0,9.0,4.0,0.444,5.0,2.0,0.4,4.0,3.0,0.75,4.0,1.0,5.0,1.0,0.0,11.0,2025-12-27 15:00:00,20.5,10.333333333333334,4.666666666666667,1.0,0.3333333333333333,1.0,1.0,19.099999999999998,27.55,11.0,4.75,1.75,0.25,0.75,0.75,20.575,30.01,11.0,4.75,1.75,0.25,0.75,0.75,20.575,30.01,13.1,8.0,20.599999999999998,10.333333333333334,20.599999999999998,10.333333333333334,-1.125,2025,10.333333333333334,4.666666666666667,2.0,0.3333333333333333,1.0,1.0,20.599999999999998,30.94333333333333,10.333333333333334,4.666666666666667,2.0,0.3333333333333333,1.0,1.0,20.599999999999998,30.94333333333333,30.01,-2.545,0.32954961552544854,0.3806929388556422,0.43956043956043955,0.31594723084084786,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.614505494505494,20.469012050289734,Myles Turner,Bucks vs Bulls,2025-12-27 15:00:00
Bobby,Portis,1626171,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,24.14,17.0,1.0,0.0,2.0,16.0,7.0,0.438,3.0,2.0,0.667,2.0,1.0,0.5,7.0,4.0,11.0,0.0,0.0,-9.0,2025-12-27 15:00:00,35.7,15.333333333333334,10.666666666666666,2.0,1.3333333333333333,0.0,1.3333333333333333,32.46666666666667,30.033333333333335,15.5,10.75,1.75,1.25,0.0,1.75,31.775,32.285,15.5,10.75,1.75,1.25,0.0,1.75,31.775,32.285,34.9,15.0,30.46666666666667,15.0,30.46666666666667,15.0,1.5,2025,15.0,10.666666666666666,2.0,1.0,0.0,2.3333333333333335,30.46666666666667,35.0,15.0,10.666666666666666,2.0,1.0,0.0,2.3333333333333335,30.46666666666667,35.0,32.285,-3.7249999999999996,0.6600660066006601,0.4698160126444098,0.43478260869565216,0.45911525078652804,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,34.27582863005464,Bobby Portis,Bucks vs Bulls,2025-12-27 15:00:00
Kyle,Kuzma,1628398,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,23.04,12.0,4.0,1.0,0.0,10.0,4.0,0.4,2.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,-2.0,2025-12-27 15:00:00,21.4,14.0,5.666666666666667,2.6666666666666665,0.3333333333333333,1.3333333333333333,2.6666666666666665,25.46666666666667,28.953333333333333,13.5,6.75,3.0,0.25,1.0,3.0,25.6,29.740000000000002,13.5,6.75,3.0,0.25,1.0,3.0,25.6,29.740000000000002,29.6,15.0,27.0,14.0,27.0,14.0,-1.1500000000000004,2025,14.0,8.333333333333334,2.6666666666666665,0.3333333333333333,1.0,3.6666666666666665,27.0,31.973333333333333,14.0,8.333333333333334,2.6666666666666665,0.3333333333333333,1.0,3.6666666666666665,27.0,31.973333333333333,29.740000000000002,-2.2650000000000006,0.43215211754537597,0.31848911139349523,0.39603960396039606,0.4731368858811015,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,21.526153852768008,Kyle Kuzma,Bucks vs Bulls,2025-12-27 15:00:00
Amir,Coffey,1629599,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-27 15:00:00,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0666666666666667,5.55,0.5,0.25,0.0,0.0,0.0,0.0,0.8,5.55,0.5,0.25,0.0,0.0,0.0,0.0,0.8,5.55,3.2,2.0,1.0666666666666667,0.6666666666666666,1.0666666666666667,0.6666666666666666,0.0,2025,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0666666666666667,5.55,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0666666666666667,5.55,5.55,0.0,0.0,0.1388888888888889,0.0,0.11904761904761904,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,0.12047027624958612,Amir Coffey,Bucks vs Bulls,2025-12-27 15:00:00
Kevin,Porter Jr.,1629645,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,38.59,8.0,9.0,0.0,4.0,10.0,3.0,0.3,3.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0,6.0,3.0,4.0,10.0,2025-12-27 15:00:00,32.7,16.0,6.666666666666667,6.333333333333333,3.0,0.3333333333333333,4.0,36.166666666666664,36.410000000000004,18.0,7.5,7.0,3.25,0.5,4.5,40.5,36.5975,18.0,7.5,7.0,3.25,0.5,4.5,40.5,36.5975,32.1,16.0,43.1,21.333333333333332,43.1,21.333333333333332,-5.199999999999999,2025,21.333333333333332,8.0,6.333333333333333,3.0,0.6666666666666666,4.666666666666667,43.1,35.93333333333333,21.333333333333332,8.0,6.333333333333333,3.0,0.6666666666666666,4.666666666666667,43.1,35.93333333333333,36.5975,0.3575000000000017,0.25846471956577927,0.3779535414984151,0.297029702970297,0.41011341135816437,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,32.7711331873761,Kevin Porter Jr.,Bucks vs Bulls,2025-12-27 15:00:00
Cole,Anthony,1630175,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-27 15:00:00,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0666666666666667,2.1999999999999997,0.75,0.25,0.0,0.0,0.0,0.25,0.8,2.1999999999999997,0.75,0.25,0.0,0.0,0.0,0.25,0.8,2.1999999999999997,0.19999999999999996,0.0,1.0666666666666667,1.0,1.0666666666666667,1.0,0.0,2025,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0666666666666667,2.1999999999999997,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0666666666666667,2.1999999999999997,2.1999999999999997,0.0,0.0,0.40322580645161293,0.0,0.22727272727272727,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,0.12047027624958612,Cole Anthony,Bucks vs Bulls,2025-12-27 15:00:00
Jericho,Sims,1630579,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,16.39,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,1.0,0.0,2025-12-27 15:00:00,10.2,4.0,6.0,0.3333333333333333,0.3333333333333333,0.0,2.3333333333333335,10.033333333333333,18.34,5.25,6.0,0.75,0.5,0.0,2.0,12.575,18.535,5.25,6.0,0.75,0.5,0.0,2.0,12.575,18.535,6.0,2.0,13.366666666666665,5.666666666666667,13.366666666666665,5.666666666666667,-2.5,2025,5.666666666666667,6.0,1.0,0.6666666666666666,0.0,2.3333333333333335,13.366666666666665,19.25,5.666666666666667,6.0,1.0,0.6666666666666666,0.0,2.3333333333333335,13.366666666666665,19.25,18.535,-0.6825000000000001,0.12128562765312309,0.14624824732726266,0.9523809523809523,0.8429807800382151,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,10.29934334597127,Jericho Sims,Bucks vs Bulls,2025-12-27 15:00:00
