Game,Date,Players,MAE,RMSE,R2
Bucks vs Bulls,2025-12-27 15:00:00,28,0.22426886259275935,0.35044155060388205,0.9993116081570657
Cavaliers vs Rockets,2025-12-27 15:00:00,25,0.32488238771145334,0.45387858970982653,0.9986455192415761
Clippers vs Trail Blazers,2025-12-26 17:00:00,27,0.24199879136287852,0.3499273073554671,0.9994976101695883
Bucks vs Grizzlies,2025-12-26 15:00:00,24,0.3326751060931992,0.43662344887342525,0.9989792092973021
76ers vs Bulls,2025-12-26 14:30:00,28,0.1590737777683893,0.19034323526738625,0.9998054919411853
Celtics vs Pacers,2025-12-26 14:00:00,26,0.17559246257298686,0.2320054029327332,0.9996843793711286
Cavaliers vs Knicks,2025-12-25 07:00:00,24,0.24415736998185,0.3184558174079108,0.9994157554184093
Clippers vs Rockets,2025-12-23 17:30:00,24,0.25767828745690596,0.3269381007263585,0.9994250909293516
Grizzlies vs Jazz,2025-12-23 16:00:00,24,0.34056004358371555,0.5737252445269903,0.9984426396460624
Bucks vs Pacers,2025-12-23 14:30:00,28,0.2077630947096518,0.26786981154836204,0.9995563345725651
Bulls vs Hawks,2025-12-23 14:30:00,26,0.31480685136385717,0.5885545774011753,0.9986036831360251
Cavaliers vs Pelicans,2025-12-23 14:30:00,26,0.2906416364255828,0.4338798327114611,0.9988714134492822
76ers vs Nets,2025-12-23 14:00:00,24,0.22083982528084997,0.3116292978606651,0.9994310679492613
Grizzlies vs Thunder,2025-12-22 16:30:00,23,0.26571852444639893,0.348099480159495,0.9991405078670466
Celtics vs Pacers,2025-12-22 14:30:00,29,0.15847399462975229,0.19202566004796806,0.999788253781329
Cavaliers vs Hornets,2025-12-22 14:00:00,24,0.33411083649233503,0.6098958177351177,0.997730453802574
Bucks vs Timberwolves,2025-12-21 14:00:00,28,0.2822670625642817,0.4437353033343167,0.9991679564329309
Bulls vs Hawks,2025-12-21 10:30:00,25,0.33093546573392474,0.45857252703735657,0.9991043929587818
Clippers vs Lakers,2025-12-20 17:30:00,23,0.16286513707686223,0.1938900270706584,0.9998179255467389
Grizzlies vs Wizards,2025-12-20 15:00:00,24,0.28903220191919005,0.4054708225321703,0.9993772228314545
