Position,Player Name,Salary,Team,Opponent,Matchup,Game Time,FPPG,Games Played,OPRK,Status
SF/PF,Kawhi Leonard,"$10,000",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,46.32,21,1st,
PG,Tyrese Maxey,"$9,900",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,51.49,28,12th,
SF/SG,Jaylen Brown,"$9,500",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,45.63,29,11th,
PG/SG,James Harden,"$9,300",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,45.34,29,1st,
PG/SG,Keyonte George,"$8,600",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,39.89,31,4th,Q
PF/SF,Lauri Markkanen,"$8,400",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,42.13,27,8th,
C,Joel Embiid,"$8,300",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,37.21,13,9th,Q
PG,Russell Westbrook,"$8,000",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,34.85,32,3rd,
PF/C,Jaren Jackson,"$7,900",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,33.12,30,4th,
SG/PG,Derrick White,"$7,800",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,37.08,30,29th,
PG,Ja Morant,"$7,600",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,32.91,16,19th,
SF/PF,DeMar DeRozan,"$7,200",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,32.31,32,29th,
PF/C,Santi Aldama,"$7,100",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,30.35,32,4th,
SF/PF,Paul George,"$7,000",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,31.33,14,22nd,
PG/SG,Payton Pritchard,"$6,800",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,31.34,31,17th,
C,Ivica Zubac,"$6,600",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,34.94,28,30th,O
SF/SG,VJ Edgecombe,"$6,500",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,31.14,26,22nd,
SG/PG,Cam Spencer,"$6,400",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,23.63,31,25th,
C,Jusuf Nurkić,"$6,200",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,29.73,28,3rd,
PF/SF,Keegan Murray,"$6,100",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,33.08,15,2nd,Q
PF/C,John Collins,"$6,000",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,22.51,30,29th,Q
SF/SG,Zach LaVine,"$5,900",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,27.68,23,29th,O
C,Maxime Raynaud,"$5,800",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,21.33,24,22nd,
PF/C,Kyle Filipowski,"$5,700",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,22.74,30,8th,
SG/SF,Cedric Coward,"$5,500",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,26.33,31,25th,
C,Neemias Queta,"$5,000",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,26.91,29,29th,
SF/SG,Hugo González,"$4,900",BOS,UTA,BOS @ UTA,TUE 9:00PM EST,11.66,26,11th,
PF,Jabari Walker,"$3,700",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,10.28,29,30th,
PF/SF,Justin Edwards,"$3,700",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,11.73,27,30th,
C,Paul Reed,"$3,700",DET,LAL,DET @ LAL,TUE 10:30PM EST,14.69,24,1st,
PF,Olivier-Maxence Prosper,"$3,600",PHI,MEM,PHI @ MEM,TUE 8:00PM EST,8.26,19,4th,
SF,Dalton Knecht,"$3,600",DET,LAL,DET @ LAL,TUE 10:30PM EST,9.8,25,25th,
PF,Maxi Kleber,"$3,600",DET,LAL,DET @ LAL,TUE 10:30PM EST,6.51,15,11th,
PF,Doug McDermott,"$3,600",SAC,LAC,SAC @ LAC,TUE 11:00PM EST,6.27,4,2nd,
